Customer,Total Quotes,Quotes Won,Quote Date
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-10
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-11
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-12
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-12
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-12
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-12
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-12
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,2.0,2022-12
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-12
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-12
COMPLETE COACH WORKS,1.0,2.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,0.0,2022-09
COMPLETE COACH WORKS,1.0,0.0,2022-09
COMPLETE COACH WORKS,1.0,0.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,0.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-09
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,0.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,0.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,0.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-10
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-11
COMPLETE COACH WORKS,1.0,0.0,2022-11
COMPLETE COACH WORKS,1.0,0.0,2022-11
COMPLETE COACH WORKS,1.0,0.0,2022-11
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
COMPLETE COACH WORKS,1.0,1.0,2022-12
CREATIVE FLAVORS AND SPECIALTIES,1.0,0.0,2022-10
CREATIVE FLAVORS AND SPECIALTIES,1.0,0.0,2022-10
CREATIVE FLAVORS AND SPECIALTIES,1.0,0.0,2022-10
CREATIVE FLAVORS AND SPECIALTIES,1.0,1.0,2022-10
CREATIVE FLAVORS AND SPECIALTIES,1.0,0.0,2022-10
CREATIVE FLAVORS AND SPECIALTIES,1.0,1.0,2022-12
CRETO WORLDWIDE,1.0,1.0,2022-09
CRETO WORLDWIDE,1.0,0.0,2022-09
CRETO WORLDWIDE,1.0,1.0,2022-09
CRETO WORLDWIDE,1.0,1.0,2022-09
CRETO WORLDWIDE,1.0,1.0,2022-09
CRETO WORLDWIDE,1.0,0.0,2022-09
